8.0883 	EXP 	Created Instr5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, name='Instr5', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.2)
8.0912 	EXP 	Created Instr_Prac_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Prac_5', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Practical', units=u'norm', win=Window(...), wrapWidth=1)
8.0942 	EXP 	Created Instr_Creat_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Creat_5', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Creative', units=u'norm', win=Window(...), wrapWidth=1)
8.0973 	EXP 	Created Practical_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Practical_5', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Practical', units=u'norm', win=Window(...), wrapWidth=1)
8.1002 	EXP 	Created Creative_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Creative_5', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Creative', units=u'norm', win=Window(...), wrapWidth=1)
8.1060 	EXP 	Created Word_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Word_5', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
8.1080 	EXP 	Created Wrong_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Wrong_5', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 255.,    0.,    0.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
8.1224 	EXP 	Created Instr6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, name='Instr6', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.2)
8.1255 	EXP 	Created Instr_Prac_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Prac_6', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Practical', units=u'norm', win=Window(...), wrapWidth=1)
8.1277 	EXP 	Created Instr_or_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='gray', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Instr_or_6', opacity=1.0, ori=0, pos=array([-0.8,  0.7]), rgb=array([ 128.,  128.,  128.]), text=u'or', units=u'norm', win=Window(...), wrapWidth=1)
8.1306 	EXP 	Created Instr_Bad_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='limegreen', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Bad_6', opacity=1.0, ori=0, pos=array([-0.8,  0.6]), rgb=array([  50.,  205.,   50.]), text=u'Bad', units=u'norm', win=Window(...), wrapWidth=1)
8.1335 	EXP 	Created Instr_Creat_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Creat_6', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Creative', units=u'norm', win=Window(...), wrapWidth=1)
